RAJ2000,DEJ2000,Teff
05 33 35.89,-05 01 32.49,3366.602
05 33 35.90,-06 06 41.48,4327.607
05 33 36.44,-05 11 53.39,3534.46
05 33 37.05,-05 23 06.99,3449.225
05 33 37.25,-05 26 52.90,4468.4
05 33 38.10,-05 14 23.19,6529.53
05 33 38.51,-06 09 19.31,3432.197
05 33 38.56,-05 13 12.53,3294.809
05 33 39.14,-05 33 10.89,6522.944
05 33 39.70,-04 50 02.93,5304.684
05 33 40.02,-05 15 24.34,4201.582
05 33 41.19,-05 00 50.05,5527.253
05 33 41.28,-04 49 25.75,3434.074
05 33 41.57,-05 09 34.27,5995.304
05 33 41.68,-05 24 04.26,3431.444
05 33 43.35,-04 47 09.21,3267.617
05 33 43.57,-05 32 25.76,4653.298
05 33 43.68,-06 24 28.78,4297.801
05 33 44.19,-04 39 58.90,6192.032
05 33 44.50,-04 59 30.80,5247.542
05 33 44.72,-05 21 04.08,4366.012
05 33 44.79,-05 14 09.88,3895.658
05 33 44.98,-06 14 00.51,3532.644
05 33 45.19,-04 37 08.80,3911.929
05 33 45.26,-05 30 49.88,3771.724
05 33 45.38,-06 04 25.38,3438.284
05 33 45.45,-05 36 32.36,3150.441
05 33 45.58,-05 00 40.76,3355.61
05 33 46.10,-05 34 26.47,3895.987
05 33 46.48,-05 25 22.35,5139.601
05 33 46.48,-05 57 12.75,5008.282
05 33 46.51,-06 15 16.71,4158.487
05 33 46.69,-05 23 25.61,3239.23
05 33 47.33,-06 00 39.62,3347.476
05 33 47.65,-05 25 48.58,3242.586
05 33 47.80,-04 55 03.63,3420.496
05 33 48.22,-05 13 26.21,3354.999
05 33 48.34,-05 22 39.36,3466.612
05 33 48.96,-05 17 53.19,3468.029
05 33 49.04,-06 20 31.88,5478.3
05 33 49.29,-05 32 45.14,5806.965
05 33 49.52,-05 45 43.48,4978.825
05 33 49.54,-05 36 20.84,3973.273
05 33 50.27,-04 38 34.18,3811.383
05 33 50.32,-06 21 30.88,3515.324
05 33 50.74,-05 00 39.45,3368.912
05 33 51.30,-04 51 47.77,6568.995
05 33 51.32,-05 23 16.45,3195.313
05 33 51.35,-04 48 22.20,3526.247
05 33 51.42,-04 36 55.36,6008.7
05 33 51.83,-06 12 46.63,4308.4
05 33 51.88,-05 54 25.75,3482.884
05 33 52.01,-05 06 55.78,3311.308
05 33 52.11,-05 30 28.48,3344.081
05 33 52.36,-05 41 50.20,4235.734
05 33 52.38,-05 31 22.99,4376.97
05 33 52.42,-04 44 00.94,5485.207
05 33 53.09,-05 35 15.29,6249.23
05 33 53.25,-05 16 33.24,4969.531
05 33 53.26,-04 56 05.05,3430.94
05 33 53.41,-06 17 10.22,3350.712
05 33 54.14,-05 03 40.16,3219.078
05 33 54.15,-06 06 37.60,3397.254
05 33 54.50,-05 32 00.34,3569.112
05 33 54.58,-06 02 08.68,4074.72
05 33 54.68,-06 04 13.18,3865.367
05 33 55.23,-05 38 50.52,6689.031
05 33 55.52,-05 25 57.59,4349.972
05 33 55.80,-04 47 49.71,3429.349
05 33 56.53,-04 28 34.31,3397.223
05 33 56.73,-05 21 33.95,3269.03
05 33 57.02,-05 42 10.23,3391.95
05 33 57.33,-04 59 15.75,3196.645
05 33 57.69,-05 40 06.10,3446.221
05 33 57.84,-04 25 05.34,5188.595
05 33 58.09,-05 50 22.82,4111.585
05 33 58.66,-06 08 09.49,4461.811
05 33 59.40,-05 50 18.70,3329.01
05 33 59.73,-05 06 39.93,3192.444
05 34 00.06,-04 57 22.55,3937.039
05 34 00.24,-06 26 10.26,5814.83
05 34 00.24,-06 33 22.51,5702.99
05 34 00.35,-05 35 43.45,4275.947
05 34 00.42,-04 36 15.03,3176.578
05 34 01.09,-06 02 26.83,3920.266
05 34 01.72,-05 46 51.35,3493.41
05 34 01.78,-04 44 42.35,4948.099
05 34 01.86,-05 59 41.16,4501.1
05 34 01.94,-04 45 49.33,3268.793
05 34 02.03,-04 44 53.65,3204.96
05 34 02.18,-05 36 19.52,3812.167
05 34 02.67,-06 05 31.54,4058.939
05 34 02.85,-05 36 33.95,3770.138
05 34 02.92,-05 49 44.33,3460.491
05 34 03.00,-05 36 57.28,4200.981
05 34 03.14,-05 54 54.83,4562.275
05 34 03.70,-05 22 18.82,3344.136
05 34 03.83,-06 16 04.47,3438.764
05 34 03.84,-04 36 06.22,3463.708
05 34 04.45,-05 02 56.33,5381.216
05 34 04.63,-05 22 22.45,3250.571
05 34 04.96,-06 23 46.99,3248.385
05 34 05.03,-04 53 11.23,3281.686
05 34 05.73,-05 52 43.55,5226.286
05 34 05.96,-05 22 43.59,3928.175
05 34 06.23,-06 30 45.06,3397.467
05 34 06.68,-06 24 11.93,4325.666
05 34 06.93,-04 39 30.33,4567.741
05 34 07.11,-05 49 25.19,6077.615
05 34 07.32,-05 13 45.47,4564.216
05 34 07.38,-04 32 31.50,6337.655
05 34 07.46,-05 13 36.50,3448.468
05 34 07.52,-06 04 46.39,3429.587
05 34 07.78,-05 55 47.14,4224.926
05 34 07.86,-05 50 58.15,5932.798
05 34 07.97,-05 36 17.09,3006.054
05 34 08.17,-04 43 57.36,5723.318
05 34 08.19,-05 11 42.90,3309.078
05 34 08.61,-04 46 33.30,5660.236
05 34 08.82,-05 10 19.22,6185.31
05 34 08.89,-05 01 42.12,3457.377
05 34 09.01,-05 24 05.70,3453.901
05 34 09.41,-04 23 45.40,4935.707
05 34 09.60,-04 44 26.81,5207.968
05 34 09.81,-04 28 19.52,6438.292
05 34 10.41,-05 10 20.96,6159.696
05 34 10.48,-04 50 35.17,4487.675
05 34 11.33,-06 31 19.56,5319.175
05 34 11.39,-04 51 22.98,3457.466
05 34 11.60,-05 55 21.95,3367.845
05 34 12.03,-05 24 19.63,3363.461
05 34 12.21,-04 50 07.27,3220.989
05 34 12.35,-04 35 44.84,5769.334
05 34 12.63,-04 50 24.74,4406.295
05 34 12.89,-05 28 48.24,4173.099
05 34 13.00,-05 42 13.37,3650.818
05 34 13.20,-05 33 53.56,3448.862
05 34 13.46,-05 55 41.78,3453.295
05 34 13.47,-04 23 53.97,3283.993
05 34 13.52,-05 35 38.64,3313.385
05 34 13.87,-05 36 35.38,3234.976
05 34 14.16,-05 36 54.25,5524.981
05 34 14.21,-05 42 21.03,3535.221
05 34 14.47,-05 28 16.80,4571.563
05 34 14.75,-06 19 18.16,3428.337
05 34 14.94,-05 15 49.60,3811.002
05 34 15.20,-05 11 49.44,6403.702
05 34 15.26,-05 04 51.75,3068.521
05 34 15.67,-05 32 24.16,3483.157
05 34 15.75,-06 36 04.65,4795.871
05 34 16.35,-04 49 27.15,3077.705
05 34 16.46,-05 36 45.57,3332.85
05 34 17.04,-04 43 46.36,5596.598
05 34 17.05,-04 48 03.70,3888.28
05 34 17.14,-05 38 16.82,3348.543
05 34 17.23,-05 29 04.31,3223.693
05 34 17.43,-05 30 35.29,3457.312
05 34 17.49,-05 31 58.63,3393.725
05 34 17.50,-05 10 35.73,6640.76
05 34 17.56,-06 03 38.16,3494.252
05 34 17.78,-05 55 43.14,6447.748
05 34 18.01,-05 33 33.31,3540.777
05 34 18.11,-05 28 33.55,3374.238
05 34 18.24,-04 28 34.45,4465.816
05 34 18.31,-05 31 16.44,3845.659
05 34 18.53,-05 34 00.24,4000.2
05 34 18.56,-05 04 47.94,4457.189
05 34 18.85,-05 07 01.68,3582.417
05 34 19.17,-06 26 10.98,6009.806
05 34 19.34,-04 21 15.15,5506.319
05 34 19.35,-05 50 26.06,5594.838
05 34 19.48,-05 27 12.16,5517.8
05 34 19.55,-05 30 19.86,4399.377
05 34 19.60,-04 28 42.55,6553.382
05 34 20.00,-04 21 35.38,5578.6
05 34 20.09,-05 38 58.50,4810.18
05 34 20.18,-05 51 43.10,5180.334
05 34 20.26,-05 58 15.61,3283.716
05 34 20.34,-04 58 56.45,3351.534
05 34 20.53,-05 18 45.10,3448.001
05 34 20.69,-04 35 01.93,3340.587
05 34 20.74,-05 30 46.16,3719.84
05 34 20.80,-05 23 29.18,3249.1
05 34 20.96,-04 34 09.30,3896.345
05 34 21.12,-06 39 13.98,6197.476
05 34 21.24,-05 35 34.76,3225.103
05 34 21.34,-04 33 43.57,5127.93
05 34 21.38,-04 18 38.71,5688.113
05 34 21.54,-05 10 53.54,5501.716
05 34 22.16,-04 20 30.58,5518.693
05 34 22.24,-04 57 41.07,4595.869
05 34 22.57,-06 20 29.25,3232.123
05 34 22.99,-04 41 39.27,3545.893
05 34 23.06,-04 35 56.90,6947.344
05 34 23.14,-04 30 14.10,5120.328
05 34 23.61,-06 18 38.93,3423.835
05 34 23.82,-05 08 15.91,3435.2
05 34 23.87,-05 15 40.33,3951.083
05 34 24.09,-04 47 11.65,4610.207
05 34 24.25,-04 46 55.52,3342.125
05 34 24.29,-04 18 10.75,4595.008
05 34 24.30,-06 06 55.58,3771.275
05 34 24.38,-04 52 52.42,3546.519
05 34 24.59,-04 17 59.51,3486.521
05 34 24.78,-05 22 10.43,3447.778
05 34 24.85,-06 44 40.59,3316.152
05 34 24.96,-05 22 05.58,5670.354
05 34 25.11,-06 43 27.47,3548.986
05 34 25.18,-04 45 10.92,3573.559
05 34 25.36,-05 43 18.71,5309.114
05 34 25.42,-04 56 55.06,3361.783
05 34 25.73,-04 56 55.42,4213.087
05 34 25.75,-06 04 35.17,5505.667
05 34 25.88,-04 56 27.46,3476.809
05 34 26.16,-05 26 30.40,3914.495
05 34 26.18,-05 24 19.02,3916.8
05 34 26.25,-04 22 16.28,6998.849
05 34 26.26,-06 46 09.30,4251.066
05 34 26.35,-06 11 01.60,6018.933
05 34 26.51,-05 23 23.92,3192.661
05 34 26.76,-05 41 57.35,3364.316
05 34 26.79,-05 28 32.17,3524.372
05 34 26.98,-05 18 03.30,3110.234
05 34 27.06,-05 32 29.12,3361.656
05 34 27.34,-05 24 22.27,4283.171
05 34 27.54,-05 28 28.47,3251.961
05 34 27.67,-05 37 19.23,3332.791
05 34 27.70,-05 31 55.30,4490.864
05 34 27.81,-05 42 10.13,3434.379
05 34 27.84,-05 43 31.52,3288.908
05 34 27.93,-05 26 34.65,4018.266
05 34 28.01,-05 59 52.47,4289.999
05 34 28.09,-06 16 13.15,3784.601
05 34 28.29,-06 10 24.77,4318.703
05 34 28.52,-05 24 57.89,4115.76
05 34 28.68,-04 34 39.58,3508.58
05 34 28.69,-06 22 07.96,3486.599
05 34 28.85,-05 47 13.79,3993.812
05 34 29.07,-05 14 14.59,4013.9
05 34 29.07,-06 38 51.78,4035.371
05 34 29.25,-05 23 56.79,4911.6
05 34 29.26,-05 14 39.75,4136.892
05 34 29.27,-05 23 50.99,6440.748
05 34 29.49,-05 13 55.19,4097.787
05 34 29.55,-04 45 02.70,3448.4
05 34 29.54,-05 23 43.75,6137.573
05 34 29.60,-05 47 24.71,3468.576
05 34 29.79,-04 51 47.71,3864.4
05 34 29.84,-06 05 58.69,5792.729
05 34 29.87,-05 04 05.39,3350.995
05 34 30.06,-04 49 50.66,3643.525
05 34 30.21,-04 58 30.42,3434.254
05 34 30.25,-05 11 48.20,3590.291
05 34 30.25,-06 22 01.07,3363.577
05 34 30.33,-05 27 27.79,6191.219
05 34 30.58,-04 33 51.99,5731.39
05 34 30.64,-04 35 52.66,3541.64
05 34 30.88,-04 25 07.08,4088.313
05 34 31.14,-05 21 55.90,3533.5
05 34 31.29,-05 28 54.81,3261.959
05 34 31.45,-06 43 22.63,3260.166
05 34 31.51,-04 24 53.95,5755.708
05 34 31.51,-05 12 30.09,5279.892
05 34 31.68,-05 28 26.91,3518.049
05 34 31.83,-05 35 19.98,3686.554
05 34 31.90,-05 26 36.82,3355.008
05 34 32.02,-05 27 42.63,4782.101
05 34 32.04,-05 11 24.84,3091.282
05 34 32.43,-04 29 14.74,6999.307
05 34 32.63,-05 43 41.87,3442.332
05 34 32.66,-05 21 07.45,3539.555
05 34 32.92,-06 39 21.76,6052.112
05 34 33.47,-04 43 32.89,5791.814
05 34 33.50,-05 42 53.16,6999.87
05 34 33.60,-05 23 09.92,4883.022
05 34 33.68,-05 14 36.15,3697.343
05 34 33.72,-05 40 22.76,2989.83
05 34 33.86,-05 56 38.07,3264.217
05 34 33.95,-05 28 24.53,4527.634
05 34 33.96,-05 34 51.24,3717.742
05 34 34.17,-04 48 27.91,3439.15
05 34 34.26,-06 02 09.72,3389.391
05 34 34.46,-04 41 10.60,4282.63
05 34 34.47,-05 03 06.95,6999.136
05 34 34.88,-04 42 43.44,3524.587
05 34 34.88,-06 11 25.99,3157.583
05 34 34.93,-04 38 52.82,5665.775
05 34 35.15,-05 32 10.38,4533.143
05 34 35.20,-05 34 32.22,3161.527
05 34 35.21,-04 53 52.27,3152.874
05 34 35.48,-04 27 21.11,5049.881
05 34 35.58,-04 25 05.08,5986.129
05 34 35.76,-05 40 09.47,3439.052
05 34 35.84,-06 21 54.72,3431.719
05 34 35.94,-05 15 24.12,3447.44
05 34 36.09,-05 42 15.18,3848.015
05 34 36.15,-06 05 34.70,3538.832
05 34 36.15,-06 51 41.55,6914.808
05 34 36.25,-06 04 51.51,3348.346
05 34 36.47,-06 42 11.53,3162.608
05 34 36.54,-05 36 17.16,3363.33
05 34 37.04,-04 33 10.48,5502.675
05 34 37.10,-05 31 08.95,3267.508
05 34 37.47,-05 34 51.95,4358.148
05 34 37.53,-05 41 17.35,3549.269
05 34 37.57,-05 43 10.68,3468.296
05 34 37.67,-05 43 04.48,3357.193
05 34 37.72,-04 48 57.73,3494.521
05 34 37.97,-04 51 08.95,4141.788
05 34 37.96,-05 41 08.72,4183.555
05 34 38.10,-05 27 40.55,3422.07
05 34 38.12,-05 04 57.93,5631.176
05 34 38.22,-05 24 23.70,3347.302
05 34 38.59,-06 35 56.45,3315.317
05 34 38.69,-05 57 43.15,4191.115
05 34 38.75,-06 08 22.91,3257.443
05 34 38.88,-06 25 21.84,3477.913
05 34 39.04,-04 55 28.83,3480.187
05 34 39.10,-06 27 21.23,3513.095
05 34 39.12,-06 17 11.75,3262.859
05 34 39.24,-04 18 02.12,5314.642
05 34 39.56,-05 27 17.43,5523.126
05 34 39.71,-06 07 13.27,3334.0
05 34 39.76,-05 24 25.46,4328.022
05 34 39.87,-06 08 34.12,3442.409
05 34 39.88,-05 26 42.08,4556.738
05 34 39.99,-05 10 07.08,6999.753
05 34 40.08,-05 40 09.40,4371.476
05 34 40.13,-04 58 39.85,4194.259
05 34 40.49,-04 57 39.62,3269.966
05 34 40.62,-04 43 31.54,3703.641
05 34 40.82,-05 26 38.75,3536.7
05 34 40.82,-04 21 33.58,4070.265
05 34 40.83,-05 28 09.52,3145.48
05 34 40.87,-05 22 42.35,3802.272
05 34 40.89,-06 34 35.07,4338.668
05 34 41.01,-05 45 17.37,3821.207
05 34 41.18,-05 46 11.64,3363.869
05 34 41.46,-05 47 56.15,3604.154
05 34 41.60,-04 24 39.30,3154.964
05 34 41.71,-05 26 53.00,3350.286
05 34 41.79,-04 53 46.25,3498.488
05 34 41.84,-05 34 29.96,6436.136
05 34 41.89,-04 53 38.29,3249.6
05 34 41.98,-04 48 23.53,4521.719
05 34 42.15,-04 59 52.11,5197.209
05 34 42.18,-04 24 53.96,6136.699
05 34 42.40,-05 12 38.15,3195.391
05 34 42.42,-05 12 18.69,4433.129
05 34 42.69,-04 42 14.88,3766.839
05 34 42.73,-06 37 50.01,5854.982
05 34 42.74,-05 28 37.57,3346.414
05 34 42.86,-05 25 16.39,5158.951
05 34 42.96,-05 20 06.99,4040.651
05 34 43.12,-06 12 38.89,3480.169
05 34 43.15,-05 44 40.03,3144.786
05 34 43.16,-06 27 14.60,3188.066
05 34 43.18,-04 23 31.60,6993.903
05 34 43.29,-06 17 03.60,3454.796
05 34 43.41,-05 30 07.03,3829.4
05 34 43.52,-04 51 36.41,3353.793
05 34 43.60,-05 18 27.69,6047.515
05 34 43.75,-05 59 28.35,6480.721
05 34 44.24,-04 26 38.44,6185.637
05 34 44.29,-04 27 20.19,5495.833
05 34 44.36,-04 26 15.18,5407.049
05 34 44.38,-05 32 18.76,3676.936
05 34 44.41,-05 26 06.15,3086.031
05 34 44.54,-04 42 14.61,4461.73
05 34 44.74,-05 33 42.18,3168.592
05 34 44.98,-05 06 49.54,4184.405
05 34 45.01,-04 55 59.31,4127.728
05 34 45.15,-06 21 07.27,3431.596
05 34 45.19,-05 10 47.65,3270.571
05 34 45.19,-05 25 04.09,4261.806
05 34 45.24,-04 47 58.11,6190.964
05 34 45.46,-05 02 07.88,3458.982
05 34 45.55,-04 36 07.71,4494.797
05 34 45.57,-05 29 20.95,3334.246
05 34 45.72,-06 21 40.16,3749.155
05 34 45.77,-05 43 43.91,3229.368
05 34 45.88,-05 41 09.70,3350.479
05 34 45.91,-05 24 55.83,3923.952
05 34 46.12,-06 05 32.06,3474.361
05 34 46.25,-04 30 09.35,5990.581
05 34 46.29,-05 39 07.73,4077.232
05 34 46.39,-05 24 31.85,3823.473
05 34 46.42,-04 54 02.06,3474.174
05 34 46.57,-05 23 25.61,3357.777
05 34 46.59,-04 29 00.45,4984.624
05 34 46.63,-05 10 40.52,6353.37
05 34 46.74,-04 57 44.06,3464.895
05 34 46.78,-05 26 04.87,3499.891
05 34 46.79,-05 21 29.15,3496.645
05 34 46.92,-05 35 07.88,3542.644
05 34 46.94,-04 59 12.75,4218.06
05 34 47.52,-05 46 30.09,3460.745
05 34 47.53,-05 57 56.90,4339.859
05 34 47.64,-04 50 01.35,3919.926
05 34 47.64,-05 43 50.66,4571.043
05 34 47.66,-06 19 40.12,3444.111
