2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName
2M03463395+3130018,*,56.64146042,31.5005188,0,5280.0,3.97,2MASS J03463395+3130018
2M03463420+2337264,*,56.6425209,23.62401009,0,7990.0,4.63,2MASS J03463420+2337264
2M03463479+2256077,*,56.64497375,22.93548965,3,4190.0,5.1,2MASS J03463479+2256077
2M03463500+3122557,*,56.64586258,31.38216019,0,6640.0,4.65,2MASS J03463500+3122557
2M03463532+2324424,*,56.64717484,23.4117794,3,4320.0,5.0,2MASS J03463532+2324424
2M03463547+3251488,*,56.6478157,32.86356735,0,5680.0,5.47,2MASS J03463547+3251488
2M03463590+2358013,*,56.64961243,23.96703529,3,4320.0,5.15,2MASS J03463590+2358013
2M03463606+2304174,*,56.65025711,23.07150459,3,3150.0,5.05,2MASS J03463606+2304174
2M03463676+3110459,*,56.65319443,31.17944336,0,3860.0,5.14,2MASS J03463676+3110459
2M03463726+2420366,*,56.65528488,24.34352684,3,4720.0,5.01,2MASS J03463726+2420366
2M03463742+3156369,*,56.65594482,31.94359207,0,5820.0,4.3,2MASS J03463742+3156369
2M03463767+2347159,*,56.65699387,23.78777122,3,5560.0,5.09,2MASS J03463767+2347159
2M03463776+3052218,*,56.65737534,30.87272644,0,6390.0,4.81,2MASS J03463776+3052218
2M03463777+2444517,*,56.65739059,24.74769783,3,5260.0,5.23,2MASS J03463777+2444517
2M03463839+2255112,*,56.65998459,22.91980362,0,6330.0,4.79,2MASS J03463839+2255112
2M03463878+2457346,*,56.66158676,24.95962906,0,6100.0,5.1,2MASS J03463878+2457346
2M03463889+2431132,*,56.66204453,24.52034378,3,4660.0,5.01,2MASS J03463889+2431132
2M03463932+2406116,*,56.66385651,24.10324287,0,6380.0,4.92,2MASS J03463932+2406116
2M03463938+2401468,*,56.66410446,24.02968788,3,4960.0,5.09,2MASS J03463938+2401468
2M03463999+2306373,*,56.66665649,23.11037064,0,6420.0,4.94,2MASS J03463999+2306373
2M03464024+2329520,*,56.6676712,23.49778938,3,4710.0,4.5,2MASS J03464024+2329520
2M03464026+2455517,*,56.66777039,24.93102837,3,4380.0,5.1,2MASS J03464026+2455517
2M03464087+3217247,*,56.67031479,32.29020309,0,2460.0,5.4,2MASS J03464087+3217247
2M03464251+3145356,*,56.67713165,31.75991058,0,4380.0,3.05,2MASS J03464251+3145356
2M03464358+2359425,*,56.68162155,23.99515152,3,3950.0,5.45,2MASS J03464358+2359425
2M03464576+2527304,*,56.69070435,25.45846558,3,3360.0,5.19,2MASS J03464576+2527304
2M03464582+3122448,*,56.69094849,31.37913704,0,5760.0,4.85,2MASS J03464582+3122448
2M03464621+3132060,*,56.69255066,31.53500175,0,4110.0,2.7,2MASS J03464621+3132060
2M03464706+2254525,*,56.69608688,22.91459274,3,5880.0,5.1,2MASS J03464706+2254525
2M03464710+3236188,*,56.6962738,32.60523224,0,6500.0,4.03,2MASS J03464710+3236188
2M03464825+3225574,*,56.7010498,32.432621,0,6800.0,3.81,2MASS J03464825+3225574
2M03464831+2418060,*,56.70130157,24.30167389,3,4500.0,5.12,2MASS J03464831+2418060
2M03464878+2304074,*,56.70325089,23.06874466,3,3900.0,5.28,2MASS J03464878+2304074
2M03464920+2436001,*,56.70502472,24.60003471,3,4120.0,5.25,2MASS J03464920+2436001
