2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName
2M03173879+4850489,*,49.4116478,48.84693146,3,3510.0,5.01,2MASS J03173879+4850489
2M03174209+4901465,*,49.42537689,49.02960968,3,5510.0,5.14,2MASS J03174209+4901465
2M03175213+4833134,*,49.46725082,48.55373764,0,4110.0,2.4,2MASS J03175213+4833134
2M03180855+4918551,*,49.53566742,49.31531143,0,4200.0,4.54,2MASS J03180855+4918551
2M03181332+4856396,*,49.55551147,48.94435883,0,3220.0,3.75,2MASS J03181332+4856396
2M03182309+4928026,*,49.59623718,49.46741486,3,3880.0,5.16,2MASS J03182309+4928026
2M03182562+4822557,*,49.60676575,48.38215637,0,5120.0,3.87,2MASS J03182562+4822557
2M03183137+4928568,*,49.6307106,49.48245621,0,5810.0,4.33,2MASS J03183137+4928568
2M03184477+4946119,*,49.68658066,49.7699852,0,11800.0,4.5,2MASS J03184477+4946119
2M03185031+4943522,*,49.70962524,49.73117065,0,6030.0,5.2,2MASS J03185031+4943522
2M03185046+4816032,*,49.71026611,48.26755905,3,4760.0,4.8,2MASS J03185046+4816032
2M03185869+4850423,*,49.7445755,48.84509659,0,4510.0,4.68,2MASS J03185869+4850423
2M03190241+4933375,*,49.76005173,49.56041718,0,4030.0,4.73,2MASS J03190241+4933375
2M03191831+4820578,*,49.82630539,48.34941483,0,5360.0,3.9,2MASS J03191831+4820578
2M03192494+4859402,*,49.85391998,48.99450302,3,3210.0,5.22,2MASS J03192494+4859402
2M03193068+4903021,*,49.87783813,49.05060196,3,4000.0,5.09,2MASS J03193068+4903021
2M03193117+4941171,*,49.87989044,49.68811035,3,3050.0,5.16,2MASS J03193117+4941171
2M03193783+4808383,*,49.90766144,48.14398956,3,3100.0,5.29,2MASS J03193783+4808383
2M03194003+4840367,*,49.91679382,48.67686462,0,5110.0,3.87,2MASS J03194003+4840367
2M03194174+4854489,*,49.92393875,48.91360474,0,6070.0,4.21,2MASS J03194174+4854489
2M03194386+4956130,*,49.93275452,49.9369545,3,4440.0,5.03,2MASS J03194386+4956130
2M03194725+4837406,*,49.94689941,48.62797165,0,11800.0,4.66,2MASS J03194725+4837406
2M03195191+4953093,*,49.96630478,49.88592911,0,5560.0,2.94,2MASS J03195191+4953093
2M03195729+4904215,*,49.98874283,49.07266235,3,3820.0,5.17,2MASS J03195729+4904215
2M03195767+4952069,*,49.9903183,49.86858368,0,4750.0,4.51,2MASS J03195767+4952069
2M03201212+4856412,*,50.05052185,48.94478989,3,3730.0,5.32,2MASS J03201212+4856412
2M03201623+4809175,*,50.06766129,48.15488815,3,3950.0,5.26,2MASS J03201623+4809175
2M03204084+4752119,*,50.17019653,47.86999893,0,4900.0,3.89,2MASS J03204084+4752119
2M03204185+4824375,*,50.17441177,48.41043091,3,5420.0,5.19,2MASS J03204185+4824375
2M03205158+4927574,*,50.2149353,49.46596527,3,4820.0,4.89,2MASS J03205158+4927574
2M03205652+4920429,*,50.23552704,49.34525681,3,3820.0,5.15,2MASS J03205652+4920429
2M03210233+4947035,*,50.25971985,49.78432465,3,3170.0,5.23,2MASS J03210233+4947035
2M03210346+4940059,*,50.26445389,49.66830826,0,3940.0,1.86,2MASS J03210346+4940059
2M03210651+4826127,*,50.27713013,48.43686676,3,4940.0,5.06,2MASS J03210651+4826127
2M03211598+4911171,*,50.31662369,49.18809509,0,5460.0,3.95,2MASS J03211598+4911171
2M03212020+4845270,*,50.33420563,48.7575264,3,5440.0,5.14,2MASS J03212020+4845270
2M03212047+4753152,*,50.33533096,47.8875618,3,3990.0,5.12,2MASS J03212047+4753152
2M03212217+4957033,*,50.34241486,49.9509201,3,4550.0,4.99,2MASS J03212217+4957033
2M03213023+4829379,*,50.3759613,48.49387741,0,6680.0,4.2,2MASS J03213023+4829379
2M03213832+4948558,*,50.40969467,49.81552505,3,3440.0,5.15,2MASS J03213832+4948558
2M03214021+4907127,*,50.41755676,49.12022018,0,6880.0,4.9,2MASS J03214021+4907127
2M03215861+4912535,*,50.4942131,49.21487427,0,6930.0,4.42,2MASS J03215861+4912535
2M03220008+4823491,*,50.50035858,48.39697647,3,4470.0,4.97,2MASS J03220008+4823491
2M03220321+5004068,*,50.51337814,50.068573,3,4030.0,5.31,2MASS J03220321+5004068
2M03220355+4756047,*,50.51480865,47.93465424,0,12200.0,4.56,2MASS J03220355+4756047
2M03220476+4911544,*,50.51987076,49.19845963,3,3040.0,4.9,2MASS J03220476+4911544
2M03220975+4834024,*,50.54065704,48.56735229,3,3870.0,5.35,2MASS J03220975+4834024
2M03221074+4805023,*,50.54476547,48.08397293,0,5350.0,3.98,2MASS J03221074+4805023
2M03222191+4908277,*,50.59133148,49.1410408,0,5100.0,4.61,2MASS J03222191+4908277
2M03222806+4849393,*,50.61695862,48.82760239,3,4010.0,5.01,2MASS J03222806+4849393
2M03223864+4843457,*,50.66101456,48.72937393,0,4460.0,3.29,2MASS J03223864+4843457
2M03224154+4816075,*,50.67308426,48.26875687,3,4620.0,4.88,2MASS J03224154+4816075
2M03224837+4939232,*,50.70157623,49.65644836,0,3870.0,5.04,2MASS J03224837+4939232
2M03225419+4849446,*,50.725811,48.82908249,3,3020.0,5.01,2MASS J03225419+4849446
2M03230655+4844168,*,50.77732468,48.73800659,3,3170.0,5.15,2MASS J03230655+4844168
2M03230870+4923534,*,50.78626633,49.39817429,0,8140.0,4.48,2MASS J03230870+4923534
2M03230978+4814426,*,50.79077911,48.24517441,3,3520.0,5.52,2MASS J03230978+4814426
2M03231193+4754345,*,50.79972076,47.90960693,0,4000.0,5.41,2MASS J03231193+4754345
2M03231778+4800240,*,50.82408524,48.00667572,0,6060.0,5.16,2MASS J03231778+4800240
2M03232271+4929395,*,50.84466553,49.49433136,3,3770.0,5.39,2MASS J03232271+4929395
2M03232505+4754379,*,50.85440826,47.91053772,3,3870.0,5.52,2MASS J03232505+4754379
2M03233236+4811136,*,50.88483429,48.18712616,3,3120.0,5.17,2MASS J03233236+4811136
2M03233662+4858533,*,50.90261459,48.98148727,3,5120.0,5.14,2MASS J03233662+4858533
2M03233718+3056336,*,50.90494156,30.94268608,0,5140.0,3.95,2MASS J03233718+3056336
2M03233761+4918225,*,50.90672302,49.3062706,0,5280.0,4.16,2MASS J03233761+4918225
2M03233787+3131094,*,50.90779877,31.51929855,0,5480.0,4.66,2MASS J03233787+3131094
2M03234031+4757296,*,50.91796494,47.95824814,0,6110.0,4.13,2MASS J03234031+4757296
2M03234277+3053142,*,50.92822647,30.88728905,0,5840.0,4.36,2MASS J03234277+3053142
2M03234517+3109561,*,50.93822098,31.16558838,0,6020.0,4.34,2MASS J03234517+3109561
2M03234570+4919527,*,50.94041824,49.3313179,3,3720.0,5.3,2MASS J03234570+4919527
2M03234653+4759206,*,50.94390488,47.98906708,3,3570.0,5.42,2MASS J03234653+4759206
2M03234733+4836161,*,50.94723511,48.60448456,0,15000.0,4.4,2MASS J03234733+4836161
2M03234831+3121526,*,50.95130539,31.36461449,0,5150.0,3.95,2MASS J03234831+3121526
2M03234831+4938184,*,50.95131302,49.63845825,3,3090.0,5.18,2MASS J03234831+4938184
2M03235508+5018240,*,50.97949982,50.30669403,3,5920.0,4.43,2MASS J03235508+5018240
2M03235712+5008477,*,50.98803329,50.14659882,0,5440.0,4.23,2MASS J03235712+5008477
2M03235905+3101512,*,50.99604416,31.03088951,0,4280.0,4.86,2MASS J03235905+3101512
2M03235988+4958017,*,50.9995079,49.96714783,3,4400.0,4.96,2MASS J03235988+4958017
2M03240225+3103502,*,51.0093956,31.06396294,0,4040.0,2.41,2MASS J03240225+3103502
2M03240259+3134142,*,51.0108223,31.57061768,0,5160.0,5.23,2MASS J03240259+3134142
2M03240337+4737051,*,51.01404953,47.61810684,3,3320.0,5.29,2MASS J03240337+4737051
2M03240566+4811107,*,51.02358246,48.18630981,0,3820.0,5.43,2MASS J03240566+4811107
2M03240670+4924518,*,51.02791977,49.41441345,0,3980.0,4.77,2MASS J03240670+4924518
2M03240777+3110115,*,51.03240204,31.16988564,0,4900.0,3.9,2MASS J03240777+3110115
2M03240915+3109244,*,51.03813934,31.15679932,0,4510.0,3.34,2MASS J03240915+3109244
2M03240984+4845558,*,51.0410347,48.765522,3,3210.0,5.37,2MASS J03240984+4845558
2M03241706+4939002,*,51.07109833,49.65007019,3,5650.0,5.08,2MASS J03241706+4939002
2M03241767+3156414,*,51.07363129,31.94483566,0,4560.0,3.48,2MASS J03241767+3156414
2M03241805+3059098,*,51.07522964,30.98607826,0,4900.0,3.97,2MASS J03241805+3059098
2M03241901+3144055,*,51.07921219,31.73488235,0,4500.0,3.32,2MASS J03241901+3144055
2M03241916+4913164,*,51.07986832,49.22124863,0,6710.0,4.46,2MASS J03241916+4913164
2M03241991+4847198,*,51.08298111,48.78884125,3,5430.0,5.14,2MASS J03241991+4847198
2M03242046+3114116,*,51.08525848,31.23657417,0,4120.0,2.62,2MASS J03242046+3114116
2M03242052+3109228,*,51.08551407,31.15634346,0,4740.0,3.5,2MASS J03242052+3109228
2M03242273+4820011,*,51.09473801,48.33364868,3,3170.0,5.16,2MASS J03242273+4820011
2M03242289+3050355,*,51.09540558,30.84319878,0,5340.0,4.29,2MASS J03242289+3050355
2M03242352+3035437,*,51.09800339,30.59549141,0,5470.0,5.24,2MASS J03242352+3035437
2M03242503+5019345,*,51.10432053,50.32627106,0,6400.0,4.15,2MASS J03242503+5019345
2M03242510+4848212,*,51.10458374,48.8059082,3,4430.0,4.69,2MASS J03242510+4848212
2M03242609+4844073,*,51.10872269,48.73537064,3,3950.0,5.11,2MASS J03242609+4844073
2M03242904+3052263,*,51.12102509,30.87398338,0,5540.0,3.96,2MASS J03242904+3052263
2M03242963+3114492,*,51.12348175,31.24699974,0,5120.0,3.87,2MASS J03242963+3114492
2M03243004+4908237,*,51.12517548,49.13993835,0,11500.0,4.62,2MASS J03243004+4908237
2M03243025+3046519,*,51.12607193,30.78110123,0,5290.0,3.83,2MASS J03243025+3046519
2M03243037+3043128,*,51.12657547,30.72024155,0,4120.0,2.04,2MASS J03243037+3043128
2M03243216+4918280,*,51.1340065,49.30778885,3,4100.0,4.84,2MASS J03243216+4918280
2M03243348+4943138,*,51.13953018,49.72052002,3,4840.0,4.59,2MASS J03243348+4943138
2M03243527+3139478,*,51.14698029,31.66329193,0,5550.0,3.99,2MASS J03243527+3139478
2M03243709+3130092,*,51.15456772,31.50257874,0,4530.0,5.01,2MASS J03243709+3130092
2M03243739+3157210,*,51.1558075,31.95583725,0,4720.0,3.76,2MASS J03243739+3157210
2M03243758+3027076,*,51.15660858,30.45212555,0,5540.0,4.34,2MASS J03243758+3027076
2M03243892+3124092,*,51.16219711,31.402565,0,4790.0,5.3,2MASS J03243892+3124092
2M03244133+4842580,*,51.1722374,48.71611404,0,4080.0,2.49,2MASS J03244133+4842580
2M03244184+3203198,*,51.17434311,32.0555191,0,4840.0,4.37,2MASS J03244184+3203198
2M03244194+3052369,*,51.17478943,30.87692642,0,4850.0,3.69,2MASS J03244194+3052369
2M03244257+3115548,*,51.17737579,31.26523209,0,3190.0,0.69,2MASS J03244257+3115548
2M03244321+5015164,*,51.18006134,50.25457001,3,3210.0,5.07,2MASS J03244321+5015164
2M03244348+4953130,*,51.18120193,49.88694763,3,4680.0,4.59,2MASS J03244348+4953130
2M03244455+4917106,*,51.18565369,49.28629303,3,3770.0,5.25,2MASS J03244455+4917106
2M03244604+3128110,*,51.19186783,31.46974564,0,5280.0,4.05,2MASS J03244604+3128110
2M03244648+3142332,*,51.19367218,31.70924568,0,4760.0,3.88,2MASS J03244648+3142332
2M03244708+4824421,*,51.19617081,48.41169739,0,6690.0,4.99,2MASS J03244708+4824421
2M03244820+3105116,*,51.20085526,31.08655739,0,5500.0,3.98,2MASS J03244820+3105116
2M03244829+3030073,*,51.20123672,30.50204277,0,5240.0,4.22,2MASS J03244829+3030073
2M03244931+3133570,*,51.20549011,31.56585693,3,4170.0,4.85,2MASS J03244931+3133570
2M03244971+4852183,*,51.20713043,48.87176514,0,5090.0,4.7,2MASS J03244971+4852183
2M03245119+3140484,*,51.21332169,31.68012047,0,4360.0,4.99,2MASS J03245119+3140484
2M03245209+4754544,*,51.21704865,47.9151268,0,12600.0,4.53,2MASS J03245209+4754544
2M03245248+3041462,*,51.21868896,30.69618988,0,5120.0,4.0,2MASS J03245248+3041462
2M03245248+4904146,*,51.21866989,49.07074356,3,3830.0,5.08,2MASS J03245248+4904146
2M03245344+3118195,*,51.22267914,31.30543518,0,4800.0,3.62,2MASS J03245344+3118195
2M03245456+3136454,*,51.22734451,31.61263275,0,4820.0,4.75,2MASS J03245456+3136454
2M03245531+3026213,*,51.23047256,30.4392662,0,6710.0,5.71,2MASS J03245531+3026213
2M03245586+5001516,*,51.23276138,50.03100204,3,5300.0,5.18,2MASS J03245586+5001516
2M03245605+3026005,*,51.23355865,30.43347549,0,3980.0,2.29,2MASS J03245605+3026005
2M03245868+5016465,*,51.24453354,50.27960968,3,3070.0,5.11,2MASS J03245868+5016465
2M03245892+4950152,*,51.24551392,49.83757401,3,4300.0,5.05,2MASS J03245892+4950152
2M03245901+3032132,*,51.24590683,30.53700638,0,5380.0,4.36,2MASS J03245901+3032132
2M03245922+3208486,*,51.24678421,32.1468544,0,5820.0,4.27,2MASS J03245922+3208486
2M03245922+4837104,*,51.24677277,48.61956787,3,4300.0,4.99,2MASS J03245922+4837104
2M03250041+3057331,*,51.2517128,30.95920563,0,5350.0,3.71,2MASS J03250041+3057331
2M03250051+3019211,*,51.25215912,30.32253647,0,6480.0,5.58,2MASS J03250051+3019211
2M03250079+3114338,*,51.25330734,31.24273682,0,5470.0,4.62,2MASS J03250079+3114338
2M03250096+3024322,*,51.25401688,30.40896797,0,4520.0,4.81,2MASS J03250096+3024322
2M03250135+4902057,*,51.25563431,49.03491974,3,3990.0,4.95,2MASS J03250135+4902057
2M03250159+3046382,*,51.25664902,30.77728081,0,5160.0,3.94,2MASS J03250159+3046382
2M03250314+3204584,*,51.26309967,32.08290863,0,4930.0,3.75,2MASS J03250314+3204584
2M03250326+4906424,*,51.26359558,49.11177826,3,3280.0,5.24,2MASS J03250326+4906424
2M03250389+3136216,*,51.26623154,31.60600662,0,4410.0,3.35,2MASS J03250389+3136216
2M03250437+4947435,*,51.26823044,49.7954216,0,7120.0,4.77,2MASS J03250437+4947435
2M03250598+3034045,*,51.27492905,30.56793785,0,5510.0,4.26,2MASS J03250598+3034045
2M03250682+4935238,*,51.2784462,49.58995056,3,4930.0,5.1,2MASS J03250682+4935238
2M03250916+3126099,*,51.28820419,31.43609238,0,5640.0,5.94,2MASS J03250916+3126099
2M03250943+3046215,*,51.28929138,30.77266121,2,3850.0,4.05,2MASS J03250943+3046215
2M03250993+4823392,*,51.29137421,48.39423752,3,3210.0,5.28,2MASS J03250993+4823392
2M03251002+4915057,*,51.29177094,49.25159073,0,11800.0,4.57,2MASS J03251002+4915057
2M03251041+4859453,*,51.29338837,48.99593353,3,3490.0,4.96,2MASS J03251041+4859453
2M03251099+4904165,*,51.29583359,49.07125854,3,3780.0,5.35,2MASS J03251099+4904165
2M03251372+3116541,*,51.30717468,31.28170395,0,6070.0,4.46,2MASS J03251372+3116541
2M03251378+5025066,*,51.30743408,50.41850662,3,3010.0,5.04,2MASS J03251378+5025066
2M03251623+4822239,*,51.31763077,48.37332153,3,5320.0,5.18,2MASS J03251623+4822239
2M03251775+3046269,*,51.32397842,30.77416039,3,2550.0,3.86,2MASS J03251775+3046269
2M03252015+3113551,*,51.33396149,31.23198318,0,4430.0,3.27,2MASS J03252015+3113551
2M03252071+4918581,*,51.33629608,49.31615067,0,13000.0,4.46,2MASS J03252071+4918581
2M03252126+5012405,*,51.33860397,50.21126556,0,5350.0,4.12,2MASS J03252126+5012405
2M03252250+3159074,*,51.34377289,31.98540306,0,4810.0,3.81,2MASS J03252250+3159074
2M03252381+3126536,*,51.34923553,31.44822693,0,4500.0,3.38,2MASS J03252381+3126536
2M03252692+3207592,*,51.36219788,32.13312531,0,4130.0,2.67,2MASS J03252692+3207592
2M03252842+3203111,*,51.36841965,32.05310059,0,4370.0,3.5,2MASS J03252842+3203111
2M03252875+3042284,*,51.36979294,30.70789909,0,5570.0,4.61,2MASS J03252875+3042284
2M03252937+3141361,*,51.37240219,31.69336891,0,6210.0,5.16,2MASS J03252937+3141361
2M03252948+4758023,*,51.37285995,47.96731186,0,7270.0,4.54,2MASS J03252948+4758023
2M03252981+3049071,*,51.37424088,30.81865692,0,5380.0,3.81,2MASS J03252981+3049071
2M03253081+3037152,*,51.37840652,30.62091064,0,4910.0,3.75,2MASS J03253081+3037152
2M03253202+3212001,*,51.38344955,32.20003128,0,4880.0,3.85,2MASS J03253202+3212001
2M03253290+3145267,*,51.38708496,31.75744057,0,4880.0,3.7,2MASS J03253290+3145267
2M03253315+3055443,*,51.38816452,30.92899323,2,3640.0,4.25,2MASS J03253315+3055443
2M03253317+3120165,*,51.3882103,31.33793831,0,5590.0,4.65,2MASS J03253317+3120165
2M03253333+3034123,*,51.3889122,30.57008362,0,5790.0,4.52,2MASS J03253333+3034123
2M03253371+3104377,*,51.39047623,31.07715416,0,4610.0,3.36,2MASS J03253371+3104377
2M03253463+4956322,*,51.39429474,49.94229507,0,5480.0,4.31,2MASS J03253463+4956322
2M03253596+3050382,*,51.39984131,30.8439579,0,5290.0,3.87,2MASS J03253596+3050382
2M03253612+4855573,*,51.40051651,48.93260956,3,3110.0,4.74,2MASS J03253612+4855573
2M03253630+3138560,*,51.40126419,31.64891624,0,5150.0,3.92,2MASS J03253630+3138560
2M03253645+3041385,*,51.40190125,30.69404793,0,5160.0,4.0,2MASS J03253645+3041385
2M03253763+5019179,*,51.40681076,50.32165909,0,6680.0,4.92,2MASS J03253763+5019179
2M03253857+4934049,*,51.41073608,49.56803131,0,4840.0,3.75,2MASS J03253857+4934049
2M03253892+3210294,*,51.41218948,32.17485046,0,4550.0,3.62,2MASS J03253892+3210294
2M03253982+3133336,*,51.41592789,31.55935287,0,4630.0,3.54,2MASS J03253982+3133336
2M03254050+3056006,*,51.41875458,30.93351936,0,5620.0,4.32,2MASS J03254050+3056006
2M03254105+4906291,*,51.42104721,49.10809326,0,4850.0,3.71,2MASS J03254105+4906291
2M03254170+3209114,*,51.42376709,32.15317535,0,4130.0,2.7,2MASS J03254170+3209114
2M03254182+3037344,*,51.42425156,30.62622452,0,5020.0,4.39,2MASS J03254182+3037344
2M03254190+3024184,*,51.42459106,30.40512466,0,4990.0,3.86,2MASS J03254190+3024184
2M03254214+3201393,*,51.42561722,32.02760315,0,5380.0,3.91,2MASS J03254214+3201393
2M03254251+3015497,*,51.4271431,30.26382065,0,5390.0,4.21,2MASS J03254251+3015497
2M03254269+3149105,*,51.42787552,31.81960678,0,5310.0,3.92,2MASS J03254269+3149105
2M03254413+3108548,*,51.43390656,31.14855576,0,5110.0,3.97,2MASS J03254413+3108548
2M03254886+3057258,*,51.45359039,30.95716858,3,4240.0,4.48,2MASS J03254886+3057258
2M03255009+3055541,*,51.45872498,30.93170357,0,8040.0,4.45,2MASS J03255009+3055541
2M03255098+3014211,*,51.46243668,30.23919487,0,4890.0,3.74,2MASS J03255098+3014211
2M03255151+3106553,*,51.46462631,31.11538506,0,5190.0,5.25,2MASS J03255151+3106553
2M03255275+3054490,*,51.46981812,30.91361427,3,4040.0,4.32,2MASS J03255275+3054490
2M03255369+3032515,*,51.47372437,30.54764366,0,4420.0,3.11,2MASS J03255369+3032515
2M03255394+4831089,*,51.47478867,48.51915741,3,4720.0,4.84,2MASS J03255394+4831089
2M03255587+3049489,*,51.4828186,30.83025932,0,5260.0,4.29,2MASS J03255587+3049489
2M03255929+4817123,*,51.49705887,48.2867775,0,5250.0,3.96,2MASS J03255929+4817123
2M03260131+4839097,*,51.50546646,48.6526947,3,3770.0,5.28,2MASS J03260131+4839097
2M03260135+3222014,*,51.5056572,32.36706924,0,5190.0,3.95,2MASS J03260135+3222014
2M03260179+3106249,*,51.50748444,31.10692596,0,5280.0,4.3,2MASS J03260179+3106249
2M03260305+3117229,*,51.5127449,31.28969574,0,5400.0,3.87,2MASS J03260305+3117229
2M03260364+3134503,*,51.51519012,31.58066559,0,5370.0,4.21,2MASS J03260364+3134503
2M03260421+4848070,*,51.51754379,48.80196762,3,5700.0,4.67,2MASS J03260421+4848070
2M03260489+3032090,*,51.520401,30.53583908,0,4870.0,3.77,2MASS J03260489+3032090
2M03260852+3134472,*,51.53553009,31.57980537,0,4770.0,3.68,2MASS J03260852+3134472
2M03261001+3107177,*,51.54171753,31.12158585,0,4320.0,2.9,2MASS J03261001+3107177
2M03261060+4813182,*,51.54420471,48.22174072,0,7700.0,4.54,2MASS J03261060+4813182
2M03261085+4823026,*,51.54521561,48.38407898,0,13700.0,4.54,2MASS J03261085+4823026
2M03261137+3053466,*,51.54740143,30.8962822,0,5110.0,3.89,2MASS J03261137+3053466
2M03261168+3106560,*,51.54870605,31.11557198,0,4700.0,3.9,2MASS J03261168+3106560
2M03261265+4809088,*,51.55272293,48.15245056,3,5120.0,5.17,2MASS J03261265+4809088
2M03261355+3029223,*,51.55649185,30.48954773,0,4840.0,3.6,2MASS J03261355+3029223
2M03261419+4842382,*,51.55914307,48.71063232,3,3910.0,5.18,2MASS J03261419+4842382
2M03261467+3209453,*,51.56115341,32.16260529,0,7310.0,4.46,2MASS J03261467+3209453
2M03261582+5006566,*,51.56595612,50.11573029,3,4330.0,4.95,2MASS J03261582+5006566
2M03261624+3223238,*,51.56766891,32.38995361,0,5290.0,4.1,2MASS J03261624+3223238
2M03261639+4850284,*,51.56832123,48.8412323,3,4730.0,4.82,2MASS J03261639+4850284
2M03261767+3205235,*,51.5736618,32.08988571,3,4850.0,3.59,2MASS J03261767+3205235
2M03261891+3041083,*,51.57880402,30.68566322,3,4610.0,4.93,2MASS J03261891+3041083
2M03261935+4913325,*,51.58065796,49.22571182,3,5680.0,5.24,2MASS J03261935+4913325
2M03261937+3024122,*,51.58071136,30.40340614,0,4690.0,3.59,2MASS J03261937+3024122
2M03262075+3051176,*,51.58647919,30.85488892,0,5430.0,3.98,2MASS J03262075+3051176
2M03262222+4925375,*,51.59258652,49.42709732,3,5040.0,4.52,2MASS J03262222+4925375
2M03262532+4820068,*,51.60554123,48.33524704,3,5430.0,5.12,2MASS J03262532+4820068
2M03262721+3009022,*,51.61339188,30.15061378,0,6390.0,4.4,2MASS J03262721+3009022
2M03262764+4902123,*,51.6151886,49.03676605,3,4550.0,4.54,2MASS J03262764+4902123
2M03262812+3033272,*,51.61718369,30.55755806,0,5470.0,4.01,2MASS J03262812+3033272
2M03262841+4941292,*,51.61840439,49.69145966,3,3160.0,5.25,2MASS J03262841+4941292
2M03262926+3050038,*,51.62192535,30.83441162,0,5260.0,3.8,2MASS J03262926+3050038
2M03263018+3215032,*,51.62577438,32.25089645,0,3970.0,1.95,2MASS J03263018+3215032
2M03263069+3220494,*,51.62789536,32.34706497,0,4040.0,2.35,2MASS J03263069+3220494
2M03263072+3149179,*,51.62800217,31.8216629,0,7060.0,3.74,2MASS J03263072+3149179
2M03263081+5007456,*,51.62840652,50.12935257,0,4080.0,2.57,2MASS J03263081+5007456
2M03263084+3141325,*,51.62851715,31.69238663,0,4410.0,3.35,2MASS J03263084+3141325
2M03263336+3036212,*,51.63899994,30.60590172,0,4120.0,2.58,2MASS J03263336+3036212
2M03263370+5013545,*,51.64041901,50.23181534,3,5510.0,5.17,2MASS J03263370+5013545
2M03263477+3008347,*,51.6448822,30.14299393,0,5290.0,3.79,2MASS J03263477+3008347
2M03263666+4938129,*,51.65275574,49.63693237,3,3180.0,5.46,2MASS J03263666+4938129
2M03263692+3229529,*,51.65384674,32.49803925,0,7300.0,3.84,2MASS J03263692+3229529
2M03263735+3011376,*,51.65563583,30.19379425,0,4530.0,3.31,2MASS J03263735+3011376
2M03263917+4752564,*,51.66322327,47.88234711,0,6600.0,4.04,2MASS J03263917+4752564
2M03263931+4825474,*,51.66379547,48.42985916,0,5830.0,4.32,2MASS J03263931+4825474
2M03264003+3224479,*,51.66680145,32.41331863,0,5710.0,5.59,2MASS J03264003+3224479
2M03264010+4819099,*,51.66708374,48.31944275,3,2970.0,5.07,2MASS J03264010+4819099
2M03264029+4910502,*,51.66791153,49.18061829,0,5110.0,3.9,2MASS J03264029+4910502
2M03264075+4846368,*,51.66980743,48.77689362,0,6200.0,4.51,2MASS J03264075+4846368
2M03264083+3116210,*,51.67016602,31.27252388,0,5360.0,3.52,2MASS J03264083+3116210
2M03264086+4957348,*,51.67028427,49.95967484,3,3360.0,5.28,2MASS J03264086+4957348
2M03264205+4947206,*,51.67522812,49.78908157,0,5830.0,4.36,2MASS J03264205+4947206
2M03264391+4954344,*,51.68297577,49.90956116,3,5740.0,4.83,2MASS J03264391+4954344
2M03264449+3006452,*,51.68541336,30.11257362,0,5550.0,4.27,2MASS J03264449+3006452
2M03264839+3030259,*,51.70164108,30.50720787,3,5060.0,5.11,2MASS J03264839+3030259
2M03264914+3007054,*,51.70476151,30.11818123,0,4320.0,5.1,2MASS J03264914+3007054
2M03265010+4847320,*,51.70877457,48.79224396,0,5880.0,4.72,2MASS J03265010+4847320
2M03265024+4754578,*,51.70934296,47.91608047,0,12100.0,4.59,2MASS J03265024+4754578
2M03265330+3004301,*,51.72211838,30.07502937,0,5510.0,4.64,2MASS J03265330+3004301
2M03265427+4855370,*,51.7261467,48.92695618,0,5320.0,3.95,2MASS J03265427+4855370
2M03265607+3034479,*,51.73365021,30.57998276,0,5140.0,3.68,2MASS J03265607+3034479
2M03265671+3127295,*,51.73629761,31.45820045,0,4500.0,3.4,2MASS J03265671+3127295
2M03265911+3020334,*,51.74630356,30.34261513,0,5520.0,3.97,2MASS J03265911+3020334
2M03270009+3050462,*,51.75039673,30.84616852,0,5980.0,4.27,2MASS J03270009+3050462
2M03270014+3021415,*,51.75059891,30.36153412,0,5620.0,4.51,2MASS J03270014+3021415
2M03270066+3219573,*,51.75276947,32.33259201,0,5280.0,5.14,2MASS J03270066+3219573
2M03270143+3122002,*,51.75596619,31.36673355,0,3560.0,1.56,2MASS J03270143+3122002
2M03270241+4850193,*,51.76005936,48.83872223,3,2970.0,5.01,2MASS J03270241+4850193
2M03270265+3215214,*,51.76107025,32.25594711,0,5490.0,3.96,2MASS J03270265+3215214
2M03270273+4941108,*,51.76137924,49.68634415,3,3080.0,4.94,2MASS J03270273+4941108
2M03270324+4847134,*,51.76351547,48.78705597,0,6550.0,4.95,2MASS J03270324+4847134
2M03270360+4748474,*,51.7650032,47.81317902,3,3110.0,5.16,2MASS J03270360+4748474
2M03270515+4812198,*,51.77148438,48.20550919,0,13800.0,4.43,2MASS J03270515+4812198
2M03271062+3039217,*,51.79427719,30.65603447,0,5190.0,4.1,2MASS J03271062+3039217
2M03271845+3043217,*,51.82689285,30.72270012,0,3890.0,2.16,2MASS J03271845+3043217
2M03271923+3139505,*,51.83013153,31.66403198,0,4620.0,3.47,2MASS J03271923+3139505
2M03272036+4759250,*,51.83486557,47.99030304,3,4660.0,4.88,2MASS J03272036+4759250
2M03272074+3140182,*,51.8364563,31.67173576,0,5490.0,3.97,2MASS J03272074+3140182
2M03272132+3153006,*,51.83886337,31.88351631,0,5500.0,4.25,2MASS J03272132+3153006
2M03272215+3103337,*,51.8423233,31.05937004,0,6000.0,4.49,2MASS J03272215+3103337
2M03272329+4822246,*,51.84707642,48.37350845,0,4570.0,4.48,2MASS J03272329+4822246
2M03272386+3134310,*,51.84945297,31.57528305,0,5280.0,3.91,2MASS J03272386+3134310
2M03272467+3022547,*,51.85281372,30.38188744,0,4310.0,2.75,2MASS J03272467+3022547
