2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName,coords
2M05504485-0038228,*,87.68688965,-0.639687,0,5290.0,3.96,2MASS J05504485-0038228,05h50m44.8535s -00d38m22.8732s
2M05504542+0941007,*,87.68927002,9.68354225,0,5470.0,4.11,2MASS J05504542+0941007,05h50m45.4248s +09d41m00.7521s
2M05504633+0823250,*,87.69307709,8.39028645,0,5270.0,3.95,2MASS J05504633+0823250,05h50m46.3385s +08d23m25.0312s
2M05504639+0037451,*,87.69330597,0.629197,0,4420.0,3.09,2MASS J05504639+0037451,05h50m46.3934s +00d37m45.1092s
2M05504639+0811312,*,87.69332886,8.19200039,0,5150.0,3.95,2MASS J05504639+0811312,05h50m46.3989s +08d11m31.2014s
2M05504746+0959306,*,87.69777679,9.99185276,0,5430.0,4.02,2MASS J05504746+0959306,05h50m47.4664s +09d59m30.6699s
2M05504891+0812084,*,87.70380402,8.20234871,0,4690.0,3.55,2MASS J05504891+0812084,05h50m48.913s +08d12m08.4554s
2M05504900+0051588,*,87.70418549,0.86635101,0,5260.0,4.03,2MASS J05504900+0051588,05h50m49.0045s +00d51m58.8636s
2M05504924-0033346,*,87.70520782,-0.55961198,0,6080.0,5.05,2MASS J05504924-0033346,05h50m49.2499s -00d33m34.6031s
2M05505005+0900238,*,87.70855713,9.00662994,0,5330.0,3.74,2MASS J05505005+0900238,05h50m50.0537s +09d00m23.8678s
2M05505051-0016037,*,87.71047974,-0.267712,0,5680.0,4.39,2MASS J05505051-0016037,05h50m50.5151s -00d16m03.7632s
2M05505055+0020074,*,87.71064758,0.33539799,0,5140.0,3.95,2MASS J05505055+0020074,05h50m50.5554s +00d20m07.4328s
2M05505059+0042501,*,87.71081543,0.71393699,0,4790.0,3.98,2MASS J05505059+0042501,05h50m50.5957s +00d42m50.1732s
2M05505106+0043395,*,87.71277618,0.72765303,0,5130.0,3.89,2MASS J05505106+0043395,05h50m51.0663s +00d43m39.5509s
2M05505120+0818457,*,87.71334076,8.31269455,0,5150.0,4.22,2MASS J05505120+0818457,05h50m51.2018s +08d18m45.7004s
2M05505125+0920434,*,87.71356201,9.34539032,0,6130.0,4.43,2MASS J05505125+0920434,05h50m51.2549s +09d20m43.4052s
2M05505305+0032045,*,87.72105408,0.53459197,0,5100.0,3.98,2MASS J05505305+0032045,05h50m53.053s +00d32m04.5311s
2M05505360+0109261,*,87.72335052,1.15727496,0,5410.0,3.92,2MASS J05505360+0109261,05h50m53.6041s +01d09m26.1899s
2M05505380+0811271,*,87.7241745,8.19086647,0,5370.0,5.23,2MASS J05505380+0811271,05h50m53.8019s +08d11m27.1193s
2M05505403-0044414,*,87.72515106,-0.74483597,0,6520.0,5.06,2MASS J05505403-0044414,05h50m54.0363s -00d44m41.4095s
