,Unnamed: 0,Unnamed: 1,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO.1,HCO+
91,106,05 35 18.098 -04 31 19.33,,,3850.0,,,,2.684,0.045,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000811,-10.0,0.76,-10.0,12.682,0.019,12.036,0.03,11.79,0.019,11.63,0.024,11.424,0.026,,,5.487,0.057,,,,,,,,,,,,,
92,107,05 35 19.77 -05 21 10.68*,,,,,,,2.576,0.736,,,,0.00434,-3.973,0.009,-4.788,0.007,0.003798,7e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,108,05 35 22.817 -05 44 42.89,,,,,,,2.597,0.038,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00075,-10.0,0.751,-10.0,11.811,0.019,10.949,0.028,10.641,0.02,10.467,0.023,10.303,0.023,,,,,,,,,,,,,,,,,
95,110,05 35 24.25 -05 25 18.48,,,,,,,2.418,0.049,K16,1.0,-10.0,0.00402,0.157,0.009,-0.229,0.006,0.004062,7e-05,4.69,0.21,11.442,0.017,10.465,0.03,10.037,0.017,,,,,,,,,9.61,0.01,9.22,0.01,,,,,,,,D,
97,111,05 35 24.70 -05 24 44.16*,2.0,1.0,4120.0,,0.646,1.0,2.555,-10.0,K16,1.0,-10.0,0.0218,4.0353,0.002,-4.352,0.001,0.02117,7e-05,22.91*,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
99,113,05 35 26.16 -05 08 33.49*,,,,,,,2.632,0.081,,,,0.0047,1.498,0.007,4.373,0.005,0.00559,8e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,114,05 35 26.417 -05 55 26.68,,,3750.0,,,,2.528,0.066,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00076,-10.0,0.803,-10.0,13.316,0.019,12.582,0.034,12.276,0.024,,,,,,,,,11.76,0.01,11.53,0.01,11.07,0.02,10.68,0.02,8.43,0.08,-1.54,D,
104,119,05 35 33.456 -04 56 01.76,,,3750.0,,,,2.554,0.057,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000875,-10.0,0.906,-10.0,12.964,0.021,12.318,0.028,12.061,0.019,11.536,0.036,11.23,0.057,,,,,,,,,,,,,,,,,
105,121,05 35 34.093 -04 32 37.01,,,,,,,2.375,0.059,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000855,-10.0,1.024,-10.0,12.814,0.023,12.173,0.029,11.913,0.019,11.68,0.025,11.495,0.024,,,5.929,0.09,,,,,,,,,,,,,
111,128,05 35 48.853 -05 00 28.56,,,4250.0,,,,2.566,0.043,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.0007,-10.0,0.718,-10.0,12.622,0.021,11.646,0.028,11.284,0.017,11.068,0.024,11.113,0.025,,,,,,,,,,,,,,,,,
112,129,05 36 03.355 -04 57 40.48,,,4000.0,,,,2.566,0.039,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00072,-10.0,0.739,-10.0,13.121,0.021,12.466,0.032,12.184,0.019,11.966,0.069,11.787,0.07,,,,,,,,,,,,,,,,,
113,130,05 36 06.61 -05 41 54.23,,,,,,,2.538,0.089,K16,1.0,-10.0,0.00328,0.153,0.011,0.118,0.008,0.00331,8e-05,3.49,0.28,13.457,0.091,12.904,0.088,12.614,0.029,,,,,,,,,12.31,0.01,12.2,0.01,12.45,0.17,,,6.8,0.04,,D,
114,130,05 36 06.32 -05 41 56.56*,,,,,,,2.606,0.02,,,,0.00236,-4.283,0.02,-2.194,0.012,0.002349,7e-05,2.43*,0.07,10.14,0.028,9.694,0.033,9.592,0.021,9.522,0.027,9.531,0.03,,,,,,,,,,,,,,,,,
