,,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO,HCO+,Cloud contamination?
20,05 35 28.13 -05 23 06.4,2,1,3610,3.7,0.317,2,2.41,0.161,F17,1,-10,0.0255,0.116,0.001,0.02096,0.0009,0.02566,0.000069,30.05,4.17,12.742,0.016,11.048,0.028,10.04,0.016,,,,,,,,,8.87,0.01,8.44,0.01,7.79,0.03,,,,,,D,yes,
21,05 35 31.54 -05 40 27.8,3,4,4460,4.2,0.00216,2,2.439,0.089,F17,0.659,0.0235,,0,0,0,0,6.85E-04,1.37E-04,0.778,-10,12.577,0.019,11.075,0.03,10.408,0.018,9.989,0.026,9.899,0.026,,,,,,,,,,,,,,,,,,
22,05 35 36.45 -04 21 30.4,3,1,3820,4.44,0.399,1,2.226,0.214,F17,1,-10,,0,0,0,0,6.05E-04,1.21E-04,0.825,-10,11.624,0.019,10.949,0.03,10.712,0.017,10.613,0.024,10.501,0.021,,,,,,,,,,,,,,,,,,
23,05 35 54.08 -05 28 32.7,3,2,4230,4.61,0.807,2,2.997,1.04,F17,0.83,0.102,,0,0,0,0,7.60E-04,1.52E-04,0.572,-10,14.198,0.026,12.182,0.035,11.19,0.023,,,,,,,,,,,,,,,,,,,,,,
24,05 36 01.85 -05 17 36.5,3,1,4410,4.32,0.000137,2,2.656,0.014,F17,1,-10,,0,0,0,0,6.50E-04,1.30E-04,0.622,-10,10.752,0.019,10.093,0.032,9.905,0.016,9.751,0.026,9.908,0.029,,,,,,,,,,,,,,,,,,
25,05 32 44.07 -05 29 52.3,3,1,4770,4.73,0.000735,2,2.287,0.094,F17,1,-10,,0,0,0,0,6.80E-04,1.36E-04,0.878,-10,13.585,0.026,12.476,0.02,12.068,0.021,11.794,0.025,11.702,0.024,,,,,,,,,,,,,,,,,,
26,05 33 16.24 -06 13 19.5,0,1,4650,4.89,0.0439,2,3.864,0.014,F17,1,-10,,0,0,0,0,6.00E-04,1.20E-04,0.271,-10,11.533,0.019,10.949,0.02,10.814,0.021,10.777,0.023,10.792,0.021,,,,,,,,,,,,,,,,,,
27,05 34 27.67 -05 37 19.2,3,1,3690,3.52,0.949,2,2.47,0.161,F17,1,-10,0.0252,0.019,0.001,-0.0963,0.0009,0.02516,0.00007,28.33,3.68,13.323,0.023,11.415,0.032,10.182,0.018,8.19,0.022,7.002,0.02,4.981,0.021,3.127,0.049,,,,,,,,,,,,,yes,
28,05 35 01.38 -06 15 17.5,3,4,4430,4.63,0.0873,2,2.551,0.015,F17,0.826,0.0712,,0,0,0,0,7.05E-04,1.41E-04,0.732,-10,11.19,0.023,10.574,0.029,10.406,0.018,10.436,0.028,10.466,0.031,,,,,,,,,,,,,,,,,,
29,05 35 11.21 -05 17 20.90,2,1,4100,4.33,0.514,2,2.483,0.07,F17,1,-10,0.00238,0.116,0.013,0.042,0.011,0.00243,0.00008,2.68,0.17,12.387,0.019,10.99,0.03,10.247,0.019,,,,,,,,,9.28,0.01,8.92,0.01,8.51,0.01,7.63,0.02,,,-0.95,D,,
30,05 35 12.14 -05 31 38.8,3,1,3320,3.85,0.411,2,2.491,0.09,F17,1,-10,,0,0,0,0,6.05E-04,1.21E-04,0.659,-10,12.159,0.019,11.436,0.03,11.125,0.019,10.89,0.029,10.839,0.024,,,,,,,,,,,,,,,,,,
31,05 35 12.36 -05 43 18.4,2,1,4340,4.29,0.0767,2,2.651,0.015,F17,1,-10,0.00335,0.1496,0.009,-0.136,0.007,0.003369,0.000069,3.24,0.08,11.194,0.019,10.461,0.028,10.252,0.018,9.938,0.022,9.526,0.021,6.899,0.031,5.192,0.071,9.56,0.01,9.46,0.01,8.81,0.01,7.87,0.01,5.03,0.01,-0.8,D,,
32,05 35 15.61 -05 24 03.0,2,1,4490,5.17,0.7,1,2.504,0.035,F17,1,-10,,0,0,0,0,1.08E-02,2.16E-03,11.63,-10,,,10.191,0.032,,,,,,,,,,,9.48,0.04,9.17,0.05,,,,,,,,D,,yes
33,05 35 17.55 -04 53 03.7,3,1,3670,3.93,0.204,2,2.672,0.134,F17,1,-10,,0,0,0,0,6.95E-04,1.39E-04,0.658,-10,13.199,0.023,11.922,0.031,11.353,0.017,10.77,0.028,10.664,0.025,7.291,0.088,,,,,,,,,,,,,,,,
34,05 35 30.02 -04 34 27.6,0,1,3000,4.43,0.057,0,2.59,0.055,F17,1,-10,,0,0,0,0,6.40E-04,1.28E-04,0.644,-10,13.116,0.021,12.464,0.032,12.254,0.021,11.846,0.037,11.629,0.033,,,4.096,0.096,,,,,,,,,,,,,,
35,05 35 43.11 -04 24 55.6,2,1,4240,4.43,0.504,2,2.53,0.02,F17,1,-10,0.0148,0.0161,0.002,-0.062,0.002,0.01472,0.000069,15.52,0.25,11.046,0.019,10.271,0.029,9.791,0.017,8.696,0.023,8.083,0.02,5.604,0.015,3.777,0.024,8.43,0.01,8.03,0.01,7.63,0.01,6.83,0.01,4.14,0.01,-1,D,,
36,05 35 44.63 -04 50 09.8,3,1,3950,4.58,0.203,2,2.557,0.027,F17,1,-10,,0,0,0,0,6.35E-04,1.27E-04,0.656,-10,12.264,0.023,11.505,0.032,11.291,0.024,11.135,0.023,11.086,0.023,,,,,,,,,,,,,,,,,,
37,05 34 26.26 -06 46 09.3,0,1,4450,5.39,0.962,2,2.953,0.024,F17,1,-10,,0,0,0,0,7.20E-04,1.44E-04,0.558,-10,12.777,0.021,12.145,0.033,11.963,0.018,11.837,0.023,11.865,0.022,,,,,,,,,,,,,,,,,,
38,05 35 17.98 -06 04 43.0,3,4,4610,4.69,0.000118,2,2.572,0.016,F17,0.992,0.0751,,0,0,0,0,6.35E-04,1.27E-04,0.648,-10,11.189,0.019,10.583,0.03,10.409,0.02,10.338,0.023,10.4,0.02,,,,,,,,,,,,,,,,,,
39,05 35 29.92 -06 44 15.1,0,1,5870,5.26,0.0329,2,1.844,0.032,F17,1,-10,,0,0,0,0,6.85E-04,1.37E-04,1.361,-10,12.58,0.019,11.896,0.03,11.624,0.016,11.475,0.023,11.462,0.02,,,,,,,,,,,,,,,,,,
