,,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO,HCO+,Cloud contamination?
76,05 35 27.05 -04 56 03.02*,,,,,,,2.555,-10,,,,0.00123,6.85,0.03,3.71,0.03,0.00094,0.00007,0.983,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,05 35 29.307 -05 45 38.17,,,4000,,,,2.524,0.057,K16,1,-10,,0,0,0,0,6.95E-04,1.39E-04,0.737,-10,12.935,0.019,12.253,0.031,12.022,0.02,11.751,0.024,11.606,0.025,8.11,0.036,,,,,,,,,,,,,,,,
78,05 35 32.34 -05 18 07.80,3,4,4190,4.09,0.143,1,2.582,0.054,K16,1,-10,,0,0,0,0,6.50E-04,1.30E-04,0.659,-10,11.55,0.019,10.613,0.03,10.283,0.019,10.066,0.051,,,,,,,,,,,,,,,,,,,,
79,05 36 05.655 -05 52 13.08,3,1,3620,4.78,0.277,1,2.612,0.042,K16,1,-10,,0,0,0,0,6.70E-04,1.34E-04,0.663,-10,12.887,0.026,12.217,0.029,11.966,0.019,11.812,0.025,11.639,0.025,,,,,,,,,,,,,,,,,,
80,05 33 29.386 -05 07 49.1,,,4700,,,,2.317,0.052,K16,1,-10,,0,0,0,0,7.65E-04,1.53E-04,0.963,-10,13.293,0.019,12.413,0.026,12.089,0.023,11.997,0.034,11.911,0.046,,,,,,,,,,,,,,,,,,
81,05 33 35.714 -05 09 23.5,,,4000,,,,2.567,0.044,K16,1,-10,,0,0,0,0,6.75E-04,1.35E-04,0.692,-10,12.497,0.021,11.684,0.022,11.409,0.019,11.267,0.024,11.106,0.022,,,,,,,,,,,,,,,,,,
82,05 33 36.441 -04 49 49.02,,,3750,,,,2.58,0.047,K16,1,-10,,0,0,0,0,8.70E-04,1.74E-04,0.883,-10,12.982,0.021,12.364,0.022,12.125,0.024,11.984,0.025,11.75,0.022,,,,,,,,,,,,,,,,,,
83,05 34 27.836 -05 43 31.52,3,5,3560,4.42,0.434,1,2.897,0.035,K16,1,-10,,0,0,0,0,6.50E-04,1.30E-04,0.523,-10,12.636,0.021,11.99,0.033,11.745,0.016,11.64,0.026,11.482,0.034,,,,,,,,,,,,,,,,,,
84,05 34 28.52 -05 24 57.96,2,1,4340,4.47,0.404,1,2.461,0.016,K16,1,-10,0.00247,0.103,0.001,0.0453,0.001,0.02469,0.00007,27.55,0.37,11.144,0.017,10.34,0.029,9.948,0.016,9.2,0.023,8.705,0.021,6.65,0.041,,,9.31,0.01,9.01,0.01,8.59,0.01,7.98,0.02,5.21,0.02,-1.29,D,yes,
85,05 34 35.681 -05 35 52.09,,,4200,,,,2.618,0.048,K16,1,-10,,0,0,0,0,6.65E-04,1.33E-04,0.66,-10,13.35,0.021,12.658,0.032,12.415,0.02,12.318,0.025,12.352,0.033,,,,,,,,,,,,,,,,,,
86,05 34 49.98 -05 18 44.64,,,,,,,2.562,0.017,K16,1,-10,,0,0,0,0,5.85E-04,1.17E-04,0.602,-10,8.776,0.015,7.997,0.035,7.303,0.015,6.134,0.096,5.334,0.062,4.001,0.02,,,6.02,0.01,5.52,0.01,5.1,0.01,4.44,0.01,2.79,0.01,-1.03,D,,
88,05 34 52.339 -05 30 08.01,3,5,3150,4.61,0.108,1,2.489,0.068,K16,1,-10,,0,0,0,0,6.55E-04,1.31E-04,0.714,-10,13.017,0.02,12.399,0.028,12.126,0.017,12.053,0.094,11.721,0.1,,,,,,,,,,,,,,,,,,
89,05 34 53.12 -05 47 42.5,,,5000,,,,2.784,0.086,K16,1,-10,,0,0,0,0,7.20E-04,1.44E-04,0.627,-10,14.03,0.021,13.378,0.039,13.163,0.029,12.93,0.034,13.435,0.104,,,,,,,,,,,,,,,,,,
90,05 34 57.452 -05 30 42.02,3,3,3990,4.24,0.174,1,2.469,0.057,K16,1,-10,,0,0,0,0,7.45E-04,1.49E-04,0.825,-10,12.736,0.02,11.994,0.03,11.764,0.019,11.874,0.072,,,,,,,,,,,,,,,,,,,,
91,05 35 02.497 -05 33 09.95,2,4,3960,4.2,0.527,1,2.537,0.051,K16,1,-10,,0,0,0,0,7.15E-04,1.43E-04,0.75,-10,12.089,0.021,11.319,0.032,10.999,0.021,9.893,0.027,9.484,0.024,5.442,0.028,,,10.16,0.01,9.81,0.01,9.28,0.04,8.61,0.05,5.69,0.04,-1.02,D,,
92,05 35 02.84 -05 51 03.1,,,3700,,,,2.627,0.033,K16,1,-10,,0,0,0,0,6.75E-04,1.35E-04,0.661,-10,12.778,0.021,12.05,0.031,11.847,0.019,11.69,0.036,11.687,0.037,,,,,,,,,,,,,,,,,,
93,05 35 03.036 -04 59 59.8,3,4,3210,4.72,0.255,1,2.559,0.038,K16,1,-10,,0,0,0,0,6.65E-04,1.33E-04,0.686,-10,12.611,0.024,11.952,0.04,11.721,0.028,11.569,0.05,11.407,0.055,,,,,,,,,,,,,,,,,,
94,05 35 04.76 -05 17 42.1,2,1,4390,4.45,0.441,1,0.409,0.359,K16,1,-10,0.00143,-0.0165,0.024,-0.148,0.018,0.001413,0.00007,,,11.525,0.021,10.099,0.03,9.339,0.019,8.177,0.025,7.699,0.025,,,,,8.24,0.01,7.83,0.01,7.52,0.01,7.09,0.05,,,-1.53,D,,
95,05 35 05.63 -05 25 19.52*,2,2,4640,4.4,1.02,1,2.547,0.02,K16,1,-10,0.0048,0.484,0.007,-0.322,0.005,0.004847,0.00007,5.05,0.11,8.993,0.023,8.11,0.053,7.434,0.021,,,,,,,,,6.69,0.01,6.02,0.01,5.37,0.01,4.35,0.01,,,-0.16,D,,
96,05 35 06.08 -05 52 39.3,,,3700,,,,1.629,0.37,K16,1,-10,,0,0,0,0,6.60E-04,1.32E-04,1.68,-10,12.633,0.021,11.942,0.03,11.724,0.022,11.612,0.028,11.611,0.029,,,,,,,,,,,,,,,,,,
97,05 35 06.59 -05 59 51.4,,,,,,,2.483,0.073,K16,1,-10,,0,0,0,0,6.40E-04,1.28E-04,0.701,-10,13.493,0.019,12.894,0.035,12.639,0.024,12.258,0.026,12.092,0.024,,,,,,,,,,,,,,,,,,
98,05 35 06.828 -05 10 38.53,3,2,3030,5.1,0.141,1,2.465,0.043,K16,1,-10,,0,0,0,0,7.10E-04,1.42E-04,0.789,-10,12.595,0.019,11.895,0.03,11.6,0.021,11.452,0.098,11.174,0.055,,,,,,,,,,,,,,,,,,
99,05 35 07.24 -04 50 25.4,3,4,3230,3.32,0.523,1,2.606,0.05,K16,1,-10,,0,0,0,0,6.55E-04,1.31E-04,0.651,-10,12.251,0.021,11.544,0.032,11.34,0.018,,,,,,,,,,,,,,,,,,,,,,
100,05 35 09.96 -05 57 11.9,2,8,4070,3.96,0.712,1,2.579,0.054,K16,1,-10,0.0177,0.263,0.002,0.059,0.002,0.0176,0.00008,17.93,0.73,12.055,0.019,10.535,0.032,9.609,0.016,8.606,0.023,7.757,0.019,5.383,0.015,3.461,0.029,8.36,0.01,7.76,0.01,7.21,0.01,6.32,0.01,3.48,0.01,-0.5,D,,
101,05 35 11.97 -05 20 33.1,,,,,,,2.476,0.057,K16,1,-10,,0,0,0,0,1.16E-03,2.32E-04,1.278,-10,10.928,0.019,9.596,0.031,8.851,0.019,,,,,,,,,8.19,0.01,7.87,0.01,7.47,0.02,6.57,0.03,,,-0.97,D,,yes
102,05 35 12.9 -05 59 38.5,3,4,3960,4.52,0.211,1,2.624,0.029,K16,1,-10,,0,0,0,0,6.80E-04,1.36E-04,0.667,-10,12.762,0.021,12.021,0.032,11.853,0.018,11.694,0.024,11.619,0.025,9.446,0.067,,,,,,,,,,,,,,,,
103,05 35 14.668 -05 08 52.08,3,2,3070,4.68,0.103,1,2.607,0.039,K16,1,-10,,0,0,0,0,6.30E-04,1.26E-04,0.626,-10,12.836,0.019,12.226,0.028,11.956,0.017,11.561,0.03,12.43,0.038,,,,,,,,,,,,,,,,,,
104,05 35 15.758 -05 21 39.82,,,,,,,2.497,0.08,K16,1,-10,,0,0,0,0,1.58E-02,3.15E-03,17.1,-10,12.821,0.033,11.821,0.039,,,,,,,,,,,,,,,,,,,,,,,,yes
105,05 35 17.139 -05 12 39.41,,,4200,,,,2.522,0.084,K16,1,-10,,0,0,0,0,7.65E-04,1.53E-04,0.812,-10,13.476,0.021,12.886,0.032,12.595,0.021,,,,,,,,,,,,,,,,,,,,,,
106,05 35 18.098 -04 31 19.33,,,3850,,,,2.684,0.045,K16,1,-10,,0,0,0,0,7.50E-04,1.50E-04,0.703,-10,12.682,0.019,12.036,0.03,11.79,0.019,11.63,0.024,11.424,0.026,,,5.487,0.057,,,,,,,,,,,,,,
107,05 35 20.04 -05 21 05.9**,2,1,4410,4.01,0.181,1,2.21,0.16,K16,1,-10,,,,,,2.37E-03,4.74E-04,3.28,-10,10.59,0.03,9.4,0.04,8.71,0.03,,,,,,,,,7.62,0.01,7.12,0.01,6.43,0.02,,,,,,D,,yes
107,05 35 20.22 -05 20 57.02*,,,,,,,3.982,0.765,,,,0.012,2.74,0.004,8.888,0.003,0.00792,0.00007,3.84,2,7.985,0.019,6.798,0.053,5.867,0.021,,,,,,,,,,,,,,,,,,,,,,yes
107,05 35 19.77 -05 21 10.68*,,,,,,,2.576,0.736,,,,0.00434,-3.973,0.009,-4.788,0.007,0.003798,0.00007,5.36,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
108,05 35 22.817 -05 44 42.89,,,,,,,2.597,0.038,K16,1,-10,,0,0,0,0,7.15E-04,1.43E-04,0.716,-10,11.811,0.019,10.949,0.028,10.641,0.02,10.467,0.023,10.303,0.023,,,,,,,,,,,,,,,,,,
109,05 35 23.97 -05 59 41.9,3,1,4320,4.68,0.158,1,2.39,0.028,K16,1,-10,,0,0,0,0,6.80E-04,1.36E-04,0.804,-10,11.15,0.017,10.462,0.03,10.332,0.02,10.231,0.023,10.241,0.02,8.741,0.06,,,,,,,,,,,,,,,,
110,05 35 24.25 -05 25 18.48,,,,,,,2.418,0.049,K16,1,-10,0.00402,0.157,0.009,-0.229,0.006,0.004062,0.00007,4.69,0.21,11.442,0.017,10.465,0.03,10.037,0.017,,,,,,,,,9.61,0.01,9.22,0.01,,,,,,,,D,,
111,05 35 24.43 -05 24 39.8,2,1,4120,4.15,0.646,1,2.498,0.059,K16,1,-10,0.0563,0.1238,0.0006,-0.025,0.0005,0.056599,0.00007,6.14,0.3,10.75,0.03,9.693,0.041,8.912,0.028,,,,,,,,,7.78,0.01,7.37,0.01,6.3,0.01,4.83,0.02,,,0.65,D,yes,
111,05 35 24.70 -05 24 44.16*,2,1,4120,,0.646,1,2.555,-10,K16,1,-10,0.0218,4.0353,0.002,-4.352,0.001,0.02117,0.00007,21.91,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
112,05 35 25.4 -05 51 08.64,0,1,6220,3.92,0.13,1,2.626,0.021,K16,1,-10,0.00141,-0.089,0.02,-0.071,0.02,0.00147,0.00007,1.44,0.07,8.874,0.017,8.692,0.031,8.369,0.021,7.29,0.037,6.286,0.027,4.001,0.017,2.509,0.028,,,,,,,,,,,,,,
113,05 35 26.06 -05 08 37.9**,,,3850,,,,2.632,0.081,K16,1,-10,,,,,,2.61E-03,5.21E-04,2.55,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
113,05 35 26.16 -05 08 33.49*,,,,,,,2.632,0.081,,,,0.0047,1.498,0.007,4.373,0.005,0.00559,0.00008,5.47,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,05 35 26.417 -05 55 26.68,,,3750,,,,2.528,0.066,K16,1,-10,,0,0,0,0,7.40E-04,1.48E-04,0.722,-10,13.316,0.019,12.582,0.034,12.276,0.024,,,,,,,,,11.76,0.01,11.53,0.01,11.07,0.02,10.68,0.02,8.43,0.08,-1.54,D,,
115,05 35 30.48 -05 24 23.0,0,1,4310,4.24,0.0719,0,2.514,0.097,K16,1,-10,,0,0,0,0,6.50E-04,1.30E-04,0.695,-10,11.115,0.019,10.31,0.03,10.077,0.019,,,,,,,,,,,,,,,,,,,,,,
116,05 35 30.913 -05 18 17.95**,3,2,3690,4,0.449,1,1.869,0.115,K16,1,-10,,0,0,0,0,7.60E-04,1.52E-04,1.47,-10,11.571,0.019,10.771,0.03,10.408,0.019,9.692,0.035,9.758,0.062,,,,,,,,,,,,,,,,,,
116,05 35 30.70 -05 18 07.18*,,,,,,,2.462,0.059,,,,,-3.117,0.004,10.772,0.003,8.92E-03,7.67E-05,9.98,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,05 35 32.52 -05 26 10.4,0,1,4090,4.34,0.16,0,2.342,0.079,K16,1,-10,,0,0,0,0,6.90E-04,1.38E-04,0.85,-10,11.626,0.021,10.877,0.032,10.569,0.017,10.202,0.049,,,,,,,,,,,,,,,,,,,,
118,05 35 33.14 -05 47 07.44,2,1,3720,4.28,0.289,1,2.616,0.049,K16,1,-10,,0,0,0,0,6.80E-04,1.36E-04,0.671,-10,13.124,0.019,12.408,0.028,12.177,0.022,11.901,0.026,11.695,0.026,8.753,0.063,,,11.86,0.01,11.68,0.01,11.46,0.03,10.9,0.06,8,0.07,-1.74,D,,
119,05 35 33.456 -04 56 01.76,,,3750,,,,2.554,0.057,K16,1,-10,,0,0,0,0,7.90E-04,1.58E-04,0.818,-10,12.964,0.021,12.318,0.028,12.061,0.019,11.536,0.036,11.23,0.057,,,,,,,,,,,,,,,,,,
120,05 35 33.85 -05 48 21.1,,,4500,,,,1.272,0.125,K16,1,-10,,0,0,0,0,6.35E-04,1.27E-04,2.65,-10,14.304,0.027,13.319,0.037,12.898,0.028,12.802,0.038,12.909,0.063,,,,,,,,,,,,,,,,,,
121,05 35 34.093 -04 32 37.01,,,,,,,2.375,0.059,K16,1,-10,,0,0,0,0,8.05E-04,1.61E-04,0.964,-10,12.814,0.023,12.173,0.029,11.913,0.019,11.68,0.025,11.495,0.024,,,5.929,0.09,,,,,,,,,,,,,,
122,05 35 37.341 -06 00 00.21,3,4,2310,4.32,0.00436,1,2.637,0.049,K16,1,-10,,0,0,0,0,7.80E-04,1.56E-04,0.758,-10,13.154,0.021,12.448,0.028,12.212,0.019,12.072,0.024,11.919,0.023,,,,,,,,,,,,,,,,,,
123,05 35 38.214 -05 14 19.02,3,2,3760,3.85,0.262,1,2.588,0.051,K16,1,-10,,0,0,0,0,7.10E-04,1.42E-04,0.716,-10,11.597,0.019,10.789,0.029,10.524,0.018,,,,,,,,,,,,,,,,,,,,,,
124,05 35 39.07 -05 08 56.4,3,1,4390,3.99,0.000135,1,2.571,0.015,K16,1,-10,,0,0,0,0,7.45E-04,1.49E-04,0.761,-10,10.88,0.017,10.165,0.029,9.999,0.018,9.82,0.028,9.947,0.035,6.862,0.103,,,,,,,,,,,,,,,,
125,05 35 39.495 -04 40 19.42,3,1,4180,4.12,0.0746,1,2.613,0.038,K16,1,-10,,0,0,0,0,7.20E-04,1.44E-04,0.712,-10,12.493,0.03,11.594,0.037,11.285,0.023,,,,,,,,,,,,,,,,,,,,,,
126,05 35 42.84 -05 51 36.8,0,1,6500,4.38,0.326,1,1.647,0.067,K16,1,-10,,0,0,0,0,6.95E-04,1.39E-04,1.731,-10,13.096,0.019,12.179,0.03,11.744,0.016,11.48,0.023,11.322,0.024,,,,,,,,,,,,,,,,,,
127,05 35 43.24 -05 09 17.1,3,1,4200,4.12,0.152,1,2.555,-10,K16,1,-10,,0,0,0,0,7.20E-04,1.44E-04,0.745,-10,10.738,0.019,10.034,0.033,9.848,0.016,9.617,0.027,9.58,0.031,6.73,0.089,,,,,,,,,,,,,,,,
128,05 35 48.853 -05 00 28.56,,,4250,,,,2.566,0.043,K16,1,-10,,0,0,0,0,7.15E-04,1.43E-04,0.733,-10,12.622,0.021,11.646,0.028,11.284,0.017,11.068,0.024,11.113,0.025,,,,,,,,,,,,,,,,,,
129,05 36 03.355 -04 57 40.48,,,4000,,,,2.566,0.039,K16,1,-10,,0,0,0,0,6.40E-04,1.28E-04,0.657,-10,13.121,0.021,12.466,0.032,12.184,0.019,11.966,0.069,11.787,0.07,,,,,,,,,,,,,,,,,,
130,05 36 06.61 -05 41 54.23,,,,,,,2.538,0.089,K16,1,-10,0.00328,0.153,0.011,0.118,0.008,0.00331,0.00008,3.49,0.28,13.457,0.091,12.904,0.088,12.614,0.029,,,,,,,,,12.31,0.01,12.2,0.01,12.45,0.17,,,6.8,0.04,,D,,
130,05 36 06.32 -05 41 56.56*,,,,,,,2.606,0.02,,,,0.00236,-4.283,0.02,-2.194,0.012,0.002349,0.00007,2.434,0.08,10.14,0.028,9.694,0.033,9.592,0.021,9.522,0.027,9.531,0.03,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"#YSO, Nepoch, Teff, veil, SB2 data from Kounkel et al. 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# Teff from K16 if not in Kounkel et al. 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# F17 = Fernandez et al. 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# K16 = Kounkel et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"# parallax from GAIA DR3, searching within 5"" of coordinates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# SB2-0 = Undeconvovalvable cross-correlation function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# SB2-1 = Only a single component in the CCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# SB2-2 = Multiple components in the CCF with Flag 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 17 phase center: 05 34 52.2 -04 40 11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 63 phase center: 05 35 23.49 -05 20 01.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 64 phase center: 05 36 37.04 -05 04 41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 70 phase center: 05 34 59.05 -05 44 29.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#76 phase center: 05 35 26.589 -04 56 06.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 95 phase center: 05 35 05.6 -05 25 19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#107 phase center: 05 35 20.04 -05 21 05.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 111 phase center: 05 35 24.43 -05 24 39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 113 phase center: 05 35 26.06 -05 08 37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 130 phase center: 05 36 06.601 -05 41 54.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# * = position of detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# **=position of phase center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
